email,customer_id
Alexander.Lewis434@heritage.com,CUST00651
Alexander.Lewis434@heritage.com,CUST03534
Alexander.Williams676@heritage.com,CUST01009
Alexander.Williams676@heritage.com,CUST02284
Andrew.Collins4@beacon.com,CUST03403
Andrew.Collins4@beacon.com,CUST03621
Angela.Thompson337@cornerstone.com,CUST00392
Angela.Thompson337@cornerstone.com,CUST02994
Barbara.Morales417@heritage.com,CUST02366
Barbara.Morales417@heritage.com,CUST03468
Brandon.Wright998@cornerstone.com,CUST00571
Brandon.Wright998@cornerstone.com,CUST03750
Brian.Allen551@cornerstone.com,CUST00999
Brian.Allen551@cornerstone.com,CUST01072
Brian.Ortiz400@beacon.com,CUST00290
Brian.Ortiz400@beacon.com,CUST03967
Brian.Scott862@cornerstone.com,CUST01686
Brian.Scott862@cornerstone.com,CUST03861
Carolyn.Lee640@parkview.com,CUST03521
Carolyn.Lee640@parkview.com,CUST03540
Charles.Davis231@parkview.com,CUST02581
Charles.Davis231@parkview.com,CUST03083
Daniel.Lewis287@valley.com,CUST00525
Daniel.Lewis287@valley.com,CUST01316
David.Murphy863@parkview.com,CUST00338
David.Murphy863@parkview.com,CUST00882
Deborah.Martinez630@lakeside.com,CUST00071
Deborah.Martinez630@lakeside.com,CUST02870
Emma.Stewart402@hilltop.com,CUST01333
Emma.Stewart402@hilltop.com,CUST03465
Eric.Murphy784@lakeside.com,CUST01263
Eric.Murphy784@lakeside.com,CUST02627
Frank.Reyes584@northgate.com,CUST01150
Frank.Reyes584@northgate.com,CUST01986
Helen.Murphy380@crossroads.com,CUST01675
Helen.Murphy380@crossroads.com,CUST03609
James.Stewart126@crossroads.com,CUST00074
James.Stewart126@crossroads.com,CUST01901
Jonathan.Hernandez546@parkview.com,CUST00078
Jonathan.Hernandez546@parkview.com,CUST01719
Laura.Clark188@union.com,CUST01470
Laura.Clark188@union.com,CUST02980
Linda.Anderson563@valley.com,CUST01769
Linda.Anderson563@valley.com,CUST03904
Mary.Howard311@hilltop.com,CUST00289
Mary.Howard311@hilltop.com,CUST01409
Nancy.Jones551@crossroads.com,CUST02020
Nancy.Jones551@crossroads.com,CUST02527
Nancy.Ramos740@trinity.com,CUST00351
Nancy.Ramos740@trinity.com,CUST03344
Nancy.Roberts863@summit.com,CUST01044
Nancy.Roberts863@summit.com,CUST01101
Pamela.Williams684@grace.com,CUST01839
Pamela.Williams684@grace.com,CUST03239
Paul.Gutierrez949@valley.com,CUST01558
Paul.Gutierrez949@valley.com,CUST03670
Paul.Morgan854@lakeside.com,CUST00843
Paul.Morgan854@lakeside.com,CUST01936
Rebecca.Reed750@heritage.com,CUST01622
Rebecca.Reed750@heritage.com,CUST02492
Rebecca.Sanchez146@northgate.com,CUST01193
Rebecca.Sanchez146@northgate.com,CUST02804
Robert.Morgan334@mercy.com,CUST00060
Robert.Morgan334@mercy.com,CUST02001
Robert.Ramos902@trinity.com,CUST00639
Robert.Ramos902@trinity.com,CUST02800
Samantha.Mitchell11@parkview.com,CUST03232
Samantha.Mitchell11@parkview.com,CUST03254
Sharon.Ramirez73@mercy.com,CUST02196
Sharon.Ramirez73@mercy.com,CUST02449
Stephanie.Johnson626@parkview.com,CUST02112
Stephanie.Johnson626@parkview.com,CUST02894
Stephanie.Miller704@maple.com,CUST02063
Stephanie.Miller704@maple.com,CUST02428
Steven.Diaz242@trinity.com,CUST02976
Steven.Diaz242@trinity.com,CUST03984
Susan.King7@mercy.com,CUST00654
Susan.King7@mercy.com,CUST02997
Susan.Taylor645@summit.com,CUST00210
Susan.Taylor645@summit.com,CUST01775
Thomas.Gutierrez37@eastview.com,CUST00035
Thomas.Gutierrez37@eastview.com,CUST00451
